id_servicio;servicio;id_diagnostico;diagnostico
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J15.7;NEUMONIA DEBIDA A MYCOPLASMA PNEUMONIAE
135;GUARDIA PEDIATRIA;J15.8;OTRAS NEUMONIAS BACTERIANAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J15.9;NEUMONIA BACTERIANA
135;GUARDIA PEDIATRIA;J16;NEUM.DEB.A OT.MICROORG.INF.NO CL.O.PARTE
135;GUARDIA PEDIATRIA;J16.8;NEUMONIA DEB.A OTR.MICROORG.INFECC.ESPEF
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J17;NEUMONIA EN ENF.CLASIF.EN OTRA PARTE
835;GUARDIA COVID19;J17.0;NEUMONIA EN ENFERM.BACTER.CLASIF.OTR.PAR
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J18;NEUMONIA, ORGANISMO NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J18.0;BRONCONEUMONIA NO ESPECIFICADA
135;GUARDIA PEDIATRIA;J18.1;NEUMONIA LOBAR NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J18.8;OTRAS NEUMONIAS DE MICROORG.NO ESPECIFI.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J18.9;NEUMONIA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J20;BRONQUITIS AGUDA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J20.0;BRONQUITIS AGUDA DEBIDA A MYCOPLASMA PNE
835;GUARDIA COVID19;J20.1;BRONQUITIS AGUD.DEBIDA A HAEMOPHILUS INF
135;GUARDIA PEDIATRIA;J20.8;BRONQUIT.AGUD.DEBIDA A OTR.MICROORG.ESPE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J20.9;BRONQUITIS AGUDA NO ESPECIFICADA
135;GUARDIA PEDIATRIA;J21;BRONQUIOLITIS AGUDA
135;GUARDIA PEDIATRIA;J21.8;BRONQUIOLIT.AGUD.DEBIDA A OTR.MICROORG.
135;GUARDIA PEDIATRIA;J21.9;BRONQUIOLITIS AGUDA, NO ESPECIFICADA
135;GUARDIA PEDIATRIA;J22;INFEC.AGUDA NO ESPEC.VIAS RESP.INFERIOR.
835;GUARDIA COVID19;J30;RINITIS ALERGICA Y VASOMOTORA
123;GUARDIA EMERGENCIA;J30.0;RINITIS VASOMOTORA
835;GUARDIA COVID19;J30.1;RINITIS ALERGICA DEBIDA AL POLEN
135;GUARDIA PEDIATRIA;J30.2;OTRA RINITIS ALERGICA ESTACIONAL
123;GUARDIA EMERGENCIA;J30.3;OTRAS RINITIS ALERGICAS
135;GUARDIA PEDIATRIA;J30.4;RINITIS ALERGICA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J31;RINITIS, RINOFARINGITIS Y FARING.CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J31.0;RINITIS CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J31.1;RINOFARINGITIS CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J31.2;FARINGITIS CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J32;SINUSITIS CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J32.0;SINUISITIS MAXILAR CRONICA
123;GUARDIA EMERGENCIA;J32.4;PANSINUSITIS CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J32.9;SINUSITIS CRONICA NO ESPECIFICADA
135;GUARDIA PEDIATRIA;J33;POLIPO NASAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J33.9;POLIPO NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J34;OTROS TRAS.DE LA NARIZ Y SENOS PARANASAL
123;GUARDIA EMERGENCIA;J34.0;ABSCESO- FURUNCULO Y CARBUNCO DE LA NARIZ
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J34.8;OTR.TRAST.ESPECIF.DE LA NARIZ Y SENOS PA
123;GUARDIA EMERGENCIA;J35;ENFERMEDADES CRONICAS DE LAS AMIGDALAS Y DE LAS ADENOIDES
123;GUARDIA EMERGENCIA;J35.3;HIPERTROFIA DE LAS AMIGDALAS CON HIPERTROFIA DE LAS ADENOIDES
935;GUARDIA AMBULATORIA MOVILES;J36;ABSCESO PERIAMIGDALINO.
835;GUARDIA COVID19;J37;LARINGITIS Y LARINGOTRAQUEITIS CRONICAS.
135;GUARDIA PEDIATRIA;J37.0;LARINGITIS CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J38.0;PARALISIS DE LAS CUERD.VOCALES Y LARINGE
123;GUARDIA EMERGENCIA;J38.4;EDEMA DE LARINGE
123;GUARDIA EMERGENCIA;J38.5;ESPASMO LARINGEO
935;GUARDIA AMBULATORIA MOVILES;J38.6;ESTENOSIS LARINGEA
835;GUARDIA COVID19;J39;OTRAS ENF.VIAS RESPIRATORIAS SUPERIORES.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J39.0;ABSCESO RETROFARINGEO Y PARAFARINGEO
135;GUARDIA PEDIATRIA;J39.1;OTROS ABSCESOS DE LA FARINGE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J39.8;OTRAS ENFERM.ESPECIF.DE VIAS RESP.SUPER.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J39.9;ENFERM.DE VIAS RESP.SUPERIOR.NO ESPECIF.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J40;BRONQUITIS,NO ESPEC.COMO AGUDA O CRONICA
835;GUARDIA COVID19;J41;BRONQUITIS CRON.SIMPLE Y MUCOPURULENTA.
135;GUARDIA PEDIATRIA;J41.0;BRONQUITIS CRONICA SIMPLE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J42;BRONQUITIS CRONICA NO ESPECIFICADA.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J43;ENFISEMA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J44;OTRAS ENF.PULMONARES OBSTRUCT. CRONICAS
835;GUARDIA COVID19;J44.0;ENFERM.PULM.OBSTRUCT.CRONIC.C/INFECC.AGU
835;GUARDIA COVID19;J44.1;ENFERM.PULM.OBSTRUCT.CRONIC.C/EXACERBAC.
135;GUARDIA PEDIATRIA;J44.8;OTR.ENFERM.PULM.OBSTRUCT.CRONIC.NO ESPE.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J44.9;ENFERM.PULM.OBSTRUCTIV.CRONIC.NO ESPECIF
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J45;ASMA
135;GUARDIA PEDIATRIA;J45.0;ASMA PREDOMINANTEMENTE ALERGICA
835;GUARDIA COVID19;J45.1;ASMA NO ALERGICA
135;GUARDIA PEDIATRIA;J45.8;ASMA MIXTA
135;GUARDIA PEDIATRIA;J45.9;ASMA NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J46;ESTADO ASMATICO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J63.1;FIBROSIS
123;GUARDIA EMERGENCIA;J67.7;NEUMONITIS DE LA VENTILACION DEBIDA AL ACONDICIONADOR Y HUMIDIFICADOR DEL AIRE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J68;AFEC.RESP.DEB.INHAL.GASES,HUMOS,VAP.S.Q.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J68.0;BRONQUI.Y NEUMONIT.DEBID.A INHALAC.GASES
123;GUARDIA EMERGENCIA;J69.0;NEUMONITIS DEBIDA A ASPIRACION DE ALIMENTO O VOMITO
135;GUARDIA PEDIATRIA;J69.8;NEUMONIT.DEBID.A ASPIRAC.DE OTROS SOLIDO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J81;EDEMA PULMONAR
123;GUARDIA EMERGENCIA;J84.9;ENFERMEDAD PULMONAR INTERSTICIAL- NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J85.2;ABSCESO DEL PULMON SIN NEUMONIA
835;GUARDIA COVID19;J90;DERRAME PLEURAL NO CLASIF. EN O. PARTE.
135;GUARDIA PEDIATRIA;J91;DERRAME PLEURAL EN AFECC. CLASIF.O.PARTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J93;NEUMOTORAX
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J93.0;NEUMOTORAX ESPONTANEO A PRESION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J93.9;NEUMOTORAX NO ESPECIFICADO
135;GUARDIA PEDIATRIA;J95;TRAST.SIST.RESP.CONS.A PROC.NO CLAS.O.P
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J96;INSUFICIENCIA RESP.NO CLAS.EN O.PARTE.
935;GUARDIA AMBULATORIA MOVILES;J96.0;INSUFICIENCIA RESPIRATORIA AGUDA
935;GUARDIA AMBULATORIA MOVILES;J96.9;INSUFICIENCIA RESPIRATORIA NO ESPECIFICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J98;OTROS TRASTOR. RESPIRATORIOS.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J98.0;ENFERM.DE LA TRAQUEA Y BRONQUIOS N/CLAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J98.4;OTROS TRAST.DEL PULMON
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J98.8;OTROS TRASTORNOS RESPIRATORIOS ESPECIFI.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;J98.9;TRAST.RESPIRATORIO NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K00;TRAST. DEL DESARROLLO Y ERUPCION DIENTES
123;GUARDIA EMERGENCIA;K00.3;DIENTES MOTEADOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K00.5;ALTER.HERED.DE LA ESTRUCT.DENT. NO CLAS.
135;GUARDIA PEDIATRIA;K00.8;OTROS TRAST.DEL DESARR.DE LOS DIENTES
135;GUARDIA PEDIATRIA;K01;DIENTES INCL. E IMPACTADOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K01.0;DIENTES INCLUIDOS
135;GUARDIA PEDIATRIA;K01.1;DIENTES IMPACTADOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K02;CARIES DENTAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K02.1;CARIES DE LA DENTINA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K02.2;CARIES DEL CEMENTO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K02.4;ODONTOCLASIA
123;GUARDIA EMERGENCIA;K02.8;OTRAS CARIES DENTALES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K02.9;CARIES DENTAL NO ESPECIFICADA
135;GUARDIA PEDIATRIA;K03;OTRAS ENF.DE LOS TEJIDOS DUROS DE DIENTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K03.8;OTRAS ENFERM.ESPECIF.DE TEJI.DUROS DIENT
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K04;ENF. DE LA PULPA Y TEJIDOS PERIAPICALES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K04.0;PULPITIS
123;GUARDIA EMERGENCIA;K04.1;NECROSIS DE LA PULPA
123;GUARDIA EMERGENCIA;K04.3;FORMACION ANORMAL DE TEJIDO DURO EN LA PULPA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K04.4;PERIOONTITIS APICAL AGUDA ORIGIN.EN PULP
123;GUARDIA EMERGENCIA;K04.5;PERIODONTITIS APICAL CRONICA
123;GUARDIA EMERGENCIA;K04.6;ABSCESO PERIAPICAL CON FISTULA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K04.7;ABSCESO PERIAPICAL SIN FISTULA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K04.9;OTRAS ENFERM.Y LAS NO ESP.DE PULP.Y TEJI
135;GUARDIA PEDIATRIA;K05;GINGIVITIS Y ENF. PERIODONTALES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K05.0;GINGIVITIS AGUDA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K05.2;PERIODONTITIS AGUDA
123;GUARDIA EMERGENCIA;K05.4;PERIODONTOSIS
135;GUARDIA PEDIATRIA;K05.5;OTRAS ENFERMEDADES PERIODONTALES
135;GUARDIA PEDIATRIA;K06;OTROS TRAS.DE ENCIA Y DE ZONA EDENTULA.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K06.8;OTROSS TRAST.ESPECIF.DE LA ENCIA Y EDENT
135;GUARDIA PEDIATRIA;K06.9;TRAST.NO ESPEC.DE ENCIA Y ZONA EDENTULA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K07.4;MALOCLUSION DE TIPO NO ESPECIFICADO
123;GUARDIA EMERGENCIA;K07.6;TRASTORNOS DE LA ARTICULACION TEMPOROMAXILAR
123;GUARDIA EMERGENCIA;K07.9;ANOMALIA DENTOFACIAL- NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K08;OTROS TRAS.DIENTES Y ESTRUC. DE SOSTEN
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K08.0;EXFOLIACION DE DIENTES DEB.A CAUS.SISTEM
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K08.1;PERD.DE DIENT.DEBIDA A ACCID.EXTRACC.ENF
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K08.8;OTR.AFECC.ESPEC.DE LOS DIENTES Y SUS EST
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K08.9;TRAST.DE DIENT.Y SUS ESTRUCT.DE SOSTEN
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K09;QUISTES DE LA REG.BUCAL NO CLAS O.PARTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K09.0;QUISTES ORIGINADOS X EL DESARR.DE DIENTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K10.2;AFECC.INFLAMAT.DE LOS MAXILARES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K10.8;OTRAS ENFERM.ESPECIFICADAS DE LOS MAXILA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K11.2;SIALADENITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K12;ESTOMATITIS Y LESIONES AFINES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K12.0;ESTOMATITIS AFTOSA RECURRENTE
135;GUARDIA PEDIATRIA;K12.1;OTRAS FORMAS DE ESTOMATITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K12.2;CELULITIS Y ABSCESO DE BOCA
835;GUARDIA COVID19;K12.3;MUCOSITIS ORAL (ULCERATIVA)
123;GUARDIA EMERGENCIA;K13;OTRAS ENFERMEDADES DE LOS LABIOS Y DE LA MUCOSA BUCAL
123;GUARDIA EMERGENCIA;K13.1;MORDEDURA DEL LABIO Y DE LA MEJILLA
123;GUARDIA EMERGENCIA;K13.2;LEUCOPLASIA Y OTRAS ALTERACIONES DEL EPITELIO BUCAL- INCLUYENDO LA LENGUA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K13.4;GRANULOMA Y LESIONES SEMEJANT.DE MUCOSA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K13.7;OTR.LESIONES Y LAS NO ESPECIF.DE MUCOSA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K14.0;GLOSITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K14.6;GLOSODINIA
123;GUARDIA EMERGENCIA;K14.8;OTRAS ENFERMEDADES DE LA LENGUA
123;GUARDIA EMERGENCIA;K14.9;ENFERMEDAD DE LA LENGUA- NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K20;ESOFAGITIS
135;GUARDIA PEDIATRIA;K21;ENFERMEDAD DEL REFLUJO GASTROESOFAGICO
123;GUARDIA EMERGENCIA;K21.0;ENFERMEDAD DEL REFLUJO GASTROESOFAGICO CON ESOFAGITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K21.9;ENFERM.DEL REFLUJO GASTROESOFAGICO S/ESO
123;GUARDIA EMERGENCIA;K22.2;OBSTRUCCION DEL ESOFAGO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K22.4;DISQUINESIA DEL ESOFAGO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K27.6;ULCERA PEPTICA, DE SITIO NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K29;GASTRITIS Y DUODENITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K29.1;OTRAS GASTRITIS AGUDAS
123;GUARDIA EMERGENCIA;K29.2;GASTRITIS ALCOHOLICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K29.5;GASTRITIS CRONICA NO ESPECIFICADA
123;GUARDIA EMERGENCIA;K29.6;OTRAS GASTRITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K29.7;GASTRITIS NO ESPECIFICADA
835;GUARDIA COVID19;K29.9;GASTRODUODENITIS NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K30;DISPEPSIA
123;GUARDIA EMERGENCIA;K31.3;ESPASMO DEL PILORO- NO CLASIFICADO EN OTRA PARTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K31.4;DIVERTICULO GASTRICO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K35;APENDICITIS AGUDA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K35.0;APENDICITIS AGUDA CON PERITONITIS GENERA
935;GUARDIA AMBULATORIA MOVILES;K35.9;APENDICITIS AGUDA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K38.2;DIVERTICULO DEL APENDICE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K40;HERNIA INGUINAL
935;GUARDIA AMBULATORIA MOVILES;K40.2;HERNIA INGUINAL BILAT.S/OBSTRUCC.NI GANG
123;GUARDIA EMERGENCIA;K40.3;HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA- CON OBSTRUCCION- SIN GANGRENA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K40.4;HERN.INGUIN.UNILATER.NO ESPEC.S/OBST/GAN
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K40.9;HERN.INGUIN.UNILATER.NO ESP.S/OBST./GAN
123;GUARDIA EMERGENCIA;K41;HERNIA FEMORAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K42;HERNIA UMBILICAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K42.0;HERNIA UMBILICAL C/OBSTRUCCION S/GANGREN
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K42.9;HERNIA UMBILICAL S/OBSTRUC.C/GANGRENA
135;GUARDIA PEDIATRIA;K43;HERNIA VENTRAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K43.9;HERNIA VENTRAL S/OBSTRUCC.NI GANGRENA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K44;HERNIA DIAFRAGMATICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K44.9;HERNIA DIAFRAGMAT.S/OBSTRUCC.NI GANGRENA
123;GUARDIA EMERGENCIA;K45;OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K46;HERNIA NO ESPEC. DE LA CAVIDAD ABDOMINAL
123;GUARDIA EMERGENCIA;K46.0;HERNIA ABDOMINAL NO ESPECIFICADA- CON OBSTRUCCION- SIN GANGRENA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K46.1;HERNIA ABDOMINAL NO ESPECIF.C/GANGRENA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K46.9;HERN.ABDOM.NO ESPEC.S/OBSTRUCC.NI GANGRE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K50.9;ENFERMEDAD DE CROHN NO ESPECIFICADA
123;GUARDIA EMERGENCIA;K51.2;PROCTITIS (CRONICA) ULCERATIVA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K51.9;COLITIS ULCERATIVAS S/ESPECIFICACION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K52;OTRAS COLITIS Y GASTROENT.NO INFECCIOSAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K52.2;COLITIS Y GASTROENTERITIS ALERG.Y DIETET
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K52.3;COLITIS INDETERMINADA
123;GUARDIA EMERGENCIA;K52.8;OTRAS COLITIS Y GASTROENTERITIS NO INFECCIOSAS ESPECIFICADAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K52.9;COLITIS Y GASTROENT.NO INFECC.NO ESPECIF
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K55.9;TRAST.VASCUL.DEL INTESTINO NO ESPECIFIC.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K56.4;OTRAS OBSTRUCCIONES DEL INTESTINO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K56.7;ILEO NO ESPECIFICADO
123;GUARDIA EMERGENCIA;K57;ENFERMEDAD DIVERTICULAR DEL INTESTINO
123;GUARDIA EMERGENCIA;K57.5;ENFERMEDAD DIVERTICULAR DE AMBOS INTESTINOS- SIN PERFORACION NI ABSCESO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K57.9;ENFERM.DIVERT.DEL INTEST.PARTE NO ESP.CO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K58;SINDROME DEL COLON IRRITABLE.
123;GUARDIA EMERGENCIA;K58.0;SINDROME DEL COLON IRRITABLE CON DIARREA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K58.9;SINDROME DEL COLON IRRITABLE S/DIARREA
135;GUARDIA PEDIATRIA;K59;OTROS TRAST.FUNCIONALES DEL INTESTINO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K59.0;CONSTIPACION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K59.1;DIARREA FUNCIONAL
135;GUARDIA PEDIATRIA;K59.9;TRASTORNO FUNCIONAL INTESTINAL NO ESPECI
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K60;FISURA Y FIST. DE LAS REG.ANAL Y RECTAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K60.0;FISURA ANAL AGUDA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K60.2;FISURA ANAL NO ESPECIFICADA
42;GUARDIA OBSTETRICA;K61;ABSCESO DE LAS REGIONES ANAL Y RECTAL.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K61.0;ABSCESO ANAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K61.2;ABSCESO ANORRECTAL
123;GUARDIA EMERGENCIA;K62;OTRAS ENFERMEDADES DEL ANO Y DEL RECTO
135;GUARDIA PEDIATRIA;K62.0;POLIPO ANAL
135;GUARDIA PEDIATRIA;K62.2;PROLAPSO ANAL
135;GUARDIA PEDIATRIA;K62.3;PROLAPSO RECTAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K62.5;PROCTORRAGIA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K62.6;ULCERA DEL ANO Y DEL RECTO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K62.8;OTR.ENFERM.ESPECIF.DEL ANO Y DEL RECTO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K62.9;ENFERMEDAD DEL ANO Y DEL RECTO NO ESPEC.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K63.0;ABSCESO DEL INTESTINO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K65.9;PERITONITIS NO ESPECIFICADA
135;GUARDIA PEDIATRIA;K66.8;OTROS TRAST.ESPECIFICADOS DEL PERITONEO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K70;ENFERMEDAD ALCOHOLICA DEL HIGADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K70.1;HEPATITIS ALCOHOLICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K70.3;CIRROSIS HEPATICA ALCOHOLICA
42;GUARDIA OBSTETRICA;K71;ENFERMEDAD TOXICA DEL HIGADO
42;GUARDIA OBSTETRICA;K71.0;ENFERM.TOXICA DEL HIGADO CON COLESTASIS
42;GUARDIA OBSTETRICA;K71.6;ENFERM.TOX.DEL HIGAD.C/HEPAT.NO CLASIF.
123;GUARDIA EMERGENCIA;K71.8;ENFERMEDAD TOXICA DEL HIGADO CON OTROS TRASTORNOS HEPATICOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K71.9;ENFERMEDAD TOXICA DEL HIGADO, NO ESPECIF
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K72.9;INSUFICIENCIA HEPATICA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K74.5;CIRROSIS BILIAR NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K75;OTRAS ENFERMEDADES INFLAMAT. DEL HIGADO.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K75.8;OTRAS ENFERM.INFLAMATORIAS DEL HIGADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K75.9;ENFERM.INFLAMATORIA DEL HIGADO NO ESPEC.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K77;TRAST. DEL HIGADO E/ENF. CLAS. E/O/PARTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K80;COLELITIASIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K80.0;CALC. VESIC. BILIAR CON COLECISTITIS AGU
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K80.1;CALC. VESIC. BILIAR CON OTRA COLECISTITI
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K80.2;CALC. VESIC. BILIAR SIN COLECISTITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K80.3;CALCULO DEL CONDUCTO BILIAR C/COLANGITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K80.5;CALC.CONDUCT.BILIAR S/COLANGITIS NI COLE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K81;COLECISTITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K81.0;COLECISTITIS AGUDA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K81.8;OTRAS COLECISTITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K81.9;COLECISTITIS NO ESPECIFICADA
123;GUARDIA EMERGENCIA;K82;OTRAS ENFERMEDADES DE LA VESICULA BILIAR
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K82.0;OBSTRUCCION DE LA VESICULA BILIAR
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;K82.4;COLESTEROLOSIS DE LA VESICULA BILIAR
935;GUARDIA AMBULATORIA MOVILES;K82.8;OTRAS ENFERM.ESPEC.DE LA VESIC.BILIAR
123;GUARDIA EMERGENCIA;K82.9;ENFERMEDAD DE LA VESICULA BILIAR- NO ESPECIFICADA
